sport,year,round,event,name1,name2,team1,score1,team2,score2,ot,location
NHL,1983,,NHLASG,,,Campbell,9,Wales,3,,Uniondale
MLB,1984,,ASG,,,National,3,American,1,,San Francisco
MLS,1984,,USOCUP,,,New York Krete,4,Chicago Croatians,2,,
NBA,1984,,NBAASG,,,East,154,West,145,OT,Denver
NFL,1984,,Pro Bowl,,,AFC,22,NFC,14,,Honolulu
NHL,1984,,NHLASG,,,Wales,7,Campbell,6,,East Rutherford
MLB,1985,,ASG,,,National,6,American,1,,Minneapolis
MLS,1985,,USOCUP,,,San Francisco Greek American,2,St. Louis Kutis,1,,
NBA,1985,,NBAASG,,,West,140,East,129,,Indianapolis
NFL,1985,,Pro Bowl,,,NFC,28,AFC,24,,Honolulu
NHL,1985,,NHLASG,,,Wales,6,Campbell,4,,Calgary
MLB,1986,,ASG,,,American,3,National,2,,Houston
MLS,1986,,USOCUP,,,St. Louis Kutis,1,San Pedro Yugoslavs,0,,
NBA,1986,,NBAASG,,,East,139,West,132,,Dallas
NFL,1986,,Pro Bowl,,,AFC,10,NFC,6,,Honolulu
NHL,1986,,NHLASG,,,Wales,4,Campbell,3,OT,Hartford
MLB,1987,,ASG,,,National,2,American,0,13 innings,Oakland
MLS,1987,,USOCUP,,,Washington Club Espana,0,Seattle Mitre Eagels,0,4:3P,
NBA,1987,,NBAASG,,,West,154,East,149,OT,Seattle
NFL,1987,,Pro Bowl,,,AFC,15,NFC,6,,Honolulu
MLB,1988,,ASG,,,American,2,National,1,,Cincinnati
MLS,1988,,USOCUP,,,St. Louis Busch,2,San Francisco Greek American,1,AET,
NBA,1988,,NBAASG,,,East,138,West,133,,Chicago
NFL,1988,,Pro Bowl,,,NFC,34,AFC,3,,Honolulu
NHL,1988,,NHLASG,,,Wales,6,Campbell,5,OT,St. Louis
MLB,1989,,ASG,,,American,5,National,3,,Anaheim
