sport,year,round,event,name1,name2,seed1,team1,score1,seed2,team2,score2,ot,loc
NCAABB,1994,64,MWR1,Midwest Regional,First Round,2,Massachusetts,78,15,Texas St.,60,,
NCAABB,1994,64,MWR1,Midwest Regional,First Round,3,Michigan,78,14,Pepperdine,74,OT,
NCAABB,1994,64,MWR1,Midwest Regional,First Round,4,Oklahoma St.,65,13,New Mexico St.,55,,
NCAABB,1994,64,MWR1,Midwest Regional,First Round,6,Texas,91,11,Western Ky.,77,,
NCAABB,1994,64,MWR1,Midwest Regional,First Round,9,Georgetown,84,8,Illinois,77,,
NCAABB,1994,64,MWR1,Midwest Regional,First Round,10,Maryland,74,7,St. Louis,66,,
NCAABB,1994,64,MWR1,Midwest Regional,First Round,12,Tulsa,112,5,UCLA,102,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,1,Purdue,98,16,UCF,67,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,2,Duke,82,15,Texas Southern,70,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,3,Kentucky,83,14,Tennessee St.,70,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,4,Kansas,102,13,Chattanooga,73,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,5,Wake Forest,68,12,Charleston,58,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,6,Marquette,81,11,Louisiana,59,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,7,Michigan St.,84,10,Seton Hall,73,,
NCAABB,1994,64,SER1,Southeast Regional,First Round,9,Alabama,76,8,Providence,70,,
NCAABB,1994,64,WER1,West Regional,First Round,1,Missouri,76,16,Navy,53,,
NCAABB,1994,64,WER1,West Regional,First Round,2,Arizona,81,15,Loyola MD,55,,
NCAABB,1994,64,WER1,West Regional,First Round,3,Louisville,67,14,Boise St.,58,,
NCAABB,1994,64,WER1,West Regional,First Round,4,Syracuse,92,13,Hawaii,78,,
NCAABB,1994,64,WER1,West Regional,First Round,6,Minnesota,74,11,Southern Ill.,60,,
NCAABB,1994,64,WER1,West Regional,First Round,7,Virginia,57,10,New Mexico,54,,
NCAABB,1994,64,WER1,West Regional,First Round,9,Wisconsin,80,8,Cincinnati,72,,
NCAABB,1994,64,WER1,West Regional,First Round,12,Green Bay,61,5,California,57,,
NCAABB,1994,32,EAR2,East Regional,Second Round,2,Connecticut,75,10,G. Washington,63,,
NCAABB,1994,32,EAR2,East Regional,Second Round,3,Florida,70,11,Pennsylvania,58,,
NCAABB,1994,32,EAR2,East Regional,Second Round,5,Indiana,67,4,Temple,58,,
NCAABB,1994,32,EAR2,East Regional,Second Round,9,Boston College,75,1,North Carolina,72,,
NCAABB,1994,32,MWR2,Midwest Regional,Second Round,1,Arkansas,85,9,Georgetown,73,,
NCAABB,1994,32,MWR2,Midwest Regional,Second Round,3,Michigan,84,6,Texas,79,,
NCAABB,1994,32,MWR2,Midwest Regional,Second Round,10,Maryland,95,2,Massachusetts,87,,
NCAABB,1994,32,MWR2,Midwest Regional,Second Round,12,Tulsa,82,4,Oklahoma St.,80,,
NCAABB,1994,32,SER2,Southeast Regional,Second Round,1,Purdue,83,9,Alabama,73,,
NCAABB,1994,32,SER2,Southeast Regional,Second Round,2,Duke,85,7,Michigan St.,74,,
NCAABB,1994,32,SER2,Southeast Regional,Second Round,4,Kansas,69,5,Wake Forest,58,,
NCAABB,1994,32,SER2,Southeast Regional,Second Round,6,Marquette,75,3,Kentucky,63,,
NCAABB,1994,32,WER2,West Regional,Second Round,1,Missouri,109,9,Wisconsin,96,,
NCAABB,1994,32,WER2,West Regional,Second Round,2,Arizona,71,7,Virginia,58,,
NCAABB,1994,32,WER2,West Regional,Second Round,3,Louisville,60,6,Minnesota,55,,
NCAABB,1994,32,WER2,West Regional,Second Round,4,Syracuse,64,12,Green Bay,59,,
NCAABB,1994,16,EASF,East Regional,Semifinals,3,Florida,69,2,Connecticut,60,OT,
NCAABB,1994,16,EASF,East Regional,Semifinals,9,Boston College,77,5,Indiana,68,,
NCAABB,1994,16,MWSF,Midwest Regional,Semifinals,1,Arkansas,103,12,Tulsa,84,,
NCAABB,1994,16,MWSF,Midwest Regional,Semifinals,3,Michigan,78,10,Maryland,71,,
NCAABB,1994,16,SESF,Southeast Regional,Semifinals,1,Purdue,83,4,Kansas,78,,
NCAABB,1994,16,SESF,Southeast Regional,Semifinals,2,Duke,59,6,Marquette,49,,
NCAABB,1994,16,WESF,West Regional,Semifinals,1,Missouri,98,4,Syracuse,88,OT,
NCAABB,1994,16,WESF,West Regional,Semifinals,2,Arizona,82,3,Louisville,70,,
NCAABB,1994,8,EAFinal,East Regional,Final,3,Florida,74,9,Boston College,66,,
NCAABB,1994,8,MWFinal,Midwest Regional,Final,1,Arkansas,76,3,Michigan,68,,
NCAABB,1994,8,SEFinal,Southeast Regional,Final,2,Duke,69,1,Purdue,60,,
NCAABB,1994,8,WEFinal,West Regional,Final,2,Arizona,92,1,Missouri,72,,
NCAABB,1994,4,NCAASF,Final Four,Semifinals,1,Arkansas,91,2,Arizona,82,,
NCAABB,1994,4,NCAASF,Final Four,Semifinals,2,Duke,70,3,Florida,65,,
NCAABB,1994,2,NCAAFinal,Final Four,Championship,1,Arkansas,76,2,Duke,72,,Charlotte
NCAABB,1995,64,EAR1,East Regional,First Round,1,Wake Forest,79,16,NC A&T,47,,
NCAABB,1995,64,EAR1,East Regional,First Round,2,Massachusetts,68,15,St. Peter's,51,,
NCAABB,1995,64,EAR1,East Regional,First Round,4,Oklahoma St.,73,13,Drexel,49,,
NCAABB,1995,64,EAR1,East Regional,First Round,5,Alabama,91,12,Pennsylvania,85,OT,
NCAABB,1995,64,EAR1,East Regional,First Round,6,Tulsa,68,11,Illinois,62,,
NCAABB,1995,64,EAR1,East Regional,First Round,9,St. Louis,64,8,Minnesota,61,OT,
NCAABB,1995,64,EAR1,East Regional,First Round,10,Stanford,70,7,Charlotte,68,,
NCAABB,1995,64,EAR1,East Regional,First Round,14,Old Dominion,89,3,Villanova,81,3OT,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,1,Kansas,82,16,Colgate,68,,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,2,Arkansas,79,15,Texas Southern,78,,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,3,Purdue,49,14,Green Bay,48,,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,4,Virginia,96,13,Nicholls,72,,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,6,Memphis,77,11,Louisville,56,,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,7,Syracuse,96,10,Southern Ill.,92,,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,8,Western Ky.,82,9,Michigan,76,OT,
NCAABB,1995,64,MWR1,Midwest Regional,First Round,12,Miami Ohio,71,5,Arizona,62,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,1,Kentucky,113,16,Mount St. Mary's,67,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,2,North Carolina,80,15,Murray St.,70,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,5,Arizona St.,81,12,Ball State,66,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,6,Georgetown,68,11,Xavier,63,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,7,Iowa State,64,10,Florida,61,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,9,Tulane,76,8,BYU,70,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,13,Manhattan,77,4,Oklahoma,67,,
NCAABB,1995,64,SER1,Southeast Regional,First Round,14,Weber St.,79,3,Michigan St.,72,,
NCAABB,1995,64,WER1,West Regional,First Round,1,UCLA,92,16,Florida Intl.,56,,
NCAABB,1995,64,WER1,West Regional,First Round,2,Connecticut,100,15,Chattanooga,71,,
NCAABB,1995,64,WER1,West Regional,First Round,3,Maryland,87,14,Gonzaga,63,,
NCAABB,1995,64,WER1,West Regional,First Round,4,Utah,76,13,Long Beach St.,64,,
NCAABB,1995,64,WER1,West Regional,First Round,5,Miss State,75,12,Santa Clara,67,,
NCAABB,1995,64,WER1,West Regional,First Round,7,Cincinnati,77,10,Temple,71,,
NCAABB,1995,64,WER1,West Regional,First Round,8,Missouri,65,9,Indiana,60,,
NCAABB,1995,64,WER1,West Regional,First Round,11,Texas,90,6,Oregon,73,,
NCAABB,1995,32,EAR2,East Regional,Second Round,1,Wake Forest,64,9,St. Louis,59,,
NCAABB,1995,32,EAR2,East Regional,Second Round,2,Massachusetts,75,10,Stanford,53,,
NCAABB,1995,32,EAR2,East Regional,Second Round,4,Oklahoma St.,66,5,Alabama,52,,
NCAABB,1995,32,EAR2,East Regional,Second Round,6,Tulsa,64,14,Old Dominion,52,,
NCAABB,1995,32,MWR2,Midwest Regional,Second Round,1,Kansas,75,8,Western Ky.,70,,
NCAABB,1995,32,MWR2,Midwest Regional,Second Round,2,Arkansas,96,7,Syracuse,94,OT,
NCAABB,1995,32,MWR2,Midwest Regional,Second Round,4,Virginia,60,12,Miami Ohio,54,OT,
NCAABB,1995,32,MWR2,Midwest Regional,Second Round,6,Memphis,75,3,Purdue,73,,
NCAABB,1995,32,SER2,Southeast Regional,Second Round,1,Kentucky,82,9,Tulane,60,,
NCAABB,1995,32,SER2,Southeast Regional,Second Round,2,North Carolina,73,7,Iowa State,51,,
NCAABB,1995,32,SER2,Southeast Regional,Second Round,5,Arizona St.,64,13,Manhattan,54,,
NCAABB,1995,32,SER2,Southeast Regional,Second Round,6,Georgetown,53,14,Weber St.,51,,
NCAABB,1995,32,WER2,West Regional,Second Round,1,UCLA,75,8,Missouri,74,,
NCAABB,1995,32,WER2,West Regional,Second Round,2,Connecticut,96,7,Cincinnati,91,,
